source,target
1440956484309897216,110181820
1440956484309897216,1102207171385790464
1440956484309897216,1103017032109432832
1440956484309897216,1103456956004556800
1440956484309897216,1103607434420146176
1440956484309897216,1103733117125382144
1440956484309897216,1106240021147934720
1440956484309897216,1106610379323523072
1440956484309897216,111045375
1440956484309897216,1112465413
1440956484309897216,1113593438178553856
1440956484309897216,111373635
1440956484309897216,1114630955510185984
1440956484309897216,1115263718777073664
1440956484309897216,1116293589909241856
1440956484309897216,1118145669301198848
1440956484309897216,1118360402365222912
1440956484309897216,1120319841599152128
1440956484309897216,1123697128772120576
1440956484309897216,1123930563751051264
1440956484309897216,1125427403327725568
1440956484309897216,112739903
1440956484309897216,1128305615028269056
1440956484309897216,1130426552632709120
1440956484309897216,113500783
1440956484309897216,1136417632532533248
1440956484309897216,1136683983293599744
1440956484309897216,1137401347
1440956484309897216,1139386452
1440956484309897216,1142355715056635904
1440956484309897216,1149704772804587520
1440956484309897216,1155935947013464064
1440956484309897216,1156536835469926400
1440956484309897216,1164879406336266240
1440956484309897216,1168083247395475456
1440956484309897216,1168315729474551808
1440956484309897216,1170180889738981376
1440956484309897216,1174555884980187136
1440956484309897216,1174595656998170624
1440956484309897216,1176947894320074752
1440956484309897216,117872528
1440956484309897216,1183808958118674432
1440956484309897216,11927342
1440956484309897216,119287114
1440956484309897216,119395124
1440956484309897216,1195449316376293376
1440956484309897216,1199503283519397888
1440956484309897216,120096298
1440956484309897216,1201114460
1440956484309897216,120266172
1440956484309897216,1204799011871510528
1440956484309897216,1209160041162514432
1440956484309897216,1212579635201892352
1440956484309897216,121363078
1440956484309897216,1214551943529607168
1440956484309897216,1216177118
1440956484309897216,122094598
1440956484309897216,1222115521216335872
1440956484309897216,1222812088407674880
1440956484309897216,1225011126
1440956484309897216,1226977604
1440956484309897216,1235175726321733632
1440956484309897216,1235979280485683200
1440956484309897216,1237732896879845376
1440956484309897216,123844811
1440956484309897216,1244525653
1440956484309897216,1244564729206640640
1440956484309897216,1245773733836529664
1440956484309897216,1245800798044467200
1440956484309897216,1245950162545115136
1440956484309897216,1249334514872201216
1440956484309897216,1250139103196217344
1440956484309897216,1256077726982844416
1440956484309897216,125628866
1440956484309897216,125868304
1440956484309897216,1259514575524896768
1440956484309897216,1266071573456437248
1440956484309897216,126632402
1440956484309897216,126727783
1440956484309897216,1270104252736696320
1440956484309897216,1270297465
1440956484309897216,1273238197728874496
1440956484309897216,1273629861089812480
1440956484309897216,1273632056845701120
1440956484309897216,1274082065005326336
1440956484309897216,1274106790368759808
1440956484309897216,1278426635700764672
1440956484309897216,1280151778911236096
1440956484309897216,128029858
1440956484309897216,1281313347753906176
1440956484309897216,1283108293980893184
1440956484309897216,1283542354511695872
1440956484309897216,1287808322155040768
1440956484309897216,129072643
1440956484309897216,1295672977279909888
1440956484309897216,129601555
1440956484309897216,1298049166354997248
1440956484309897216,1300121763326685184
1440956484309897216,1303734285397098496
1440956484309897216,1307159088086745088
1440956484309897216,1317175488
1440956484309897216,1318980167373623296
1440956484309897216,1319221643634495488
1440956484309897216,1320904896275763200
1440956484309897216,1326569166401363968
1440956484309897216,132657579
1440956484309897216,1326946164726435840
1440956484309897216,1327987448186597376
1440956484309897216,1333448433395527680
1440956484309897216,1333992334170746880
1440956484309897216,1334266964
1440956484309897216,1335688166188183552
1440956484309897216,1336838433000525824
1440956484309897216,1337607604097454080
1440956484309897216,1340352912
1440956484309897216,1345363015034667008
1440956484309897216,1346086414765748224
1440956484309897216,1347940210626191360
1440956484309897216,1348325002853150720
1440956484309897216,1351576520431644672
1440956484309897216,1351678532246712320
1440956484309897216,1352153173
1440956484309897216,1353104516611256320
1440956484309897216,1354833675968503808
1440956484309897216,1355192992987033600
1440956484309897216,1358335428970094592
1440956484309897216,1362778315271118848
1440956484309897216,1370444929332297728
1440956484309897216,1371661483
1440956484309897216,1372560004256051200
1440956484309897216,1372661326930190336
1440956484309897216,1373368518
1440956484309897216,137698811
1440956484309897216,1378682620310085632
1440956484309897216,1378933351
1440956484309897216,1378987188847845376
1440956484309897216,1379408439030525952
1440956484309897216,1380137583833911296
1440956484309897216,1381991256780324864
1440956484309897216,1382234280202543104
1440956484309897216,1384021017790582784
1440956484309897216,1384754557
1440956484309897216,1385268566
1440956484309897216,1385834960775487488
1440956484309897216,138683640
1440956484309897216,1387229179436019712
1440956484309897216,1387474624619982848
1440956484309897216,1389575335
1440956484309897216,1389952883899224064
1440956484309897216,1391562883763474432
1440956484309897216,1391845677039243264
1440956484309897216,13927862
1440956484309897216,139335134
1440956484309897216,1398365676163715072
1440956484309897216,1399547594154692608
1440956484309897216,140233708
1440956484309897216,1405580160900993024
1440956484309897216,14057781
1440956484309897216,1414905805
1440956484309897216,141649673
1440956484309897216,141714889
1440956484309897216,1418640379633676288
1440956484309897216,1421522451440226304
1440956484309897216,1424059795548647424
1440956484309897216,1425650671244689408
1440956484309897216,142633802
1440956484309897216,1426480993
1440956484309897216,1438554399387922432
1440956484309897216,14399452
1440956484309897216,1440043628970217472
1440956484309897216,144016658
1440956484309897216,1440998468709986304
1440956484309897216,14469132
1440956484309897216,14517797
1440956484309897216,145354047
1440956484309897216,1459490521106333696
1440956484309897216,1461991965034225664
1440956484309897216,1462862990466768896
1440956484309897216,1463416308406489088
1440956484309897216,146403573
1440956484309897216,1464681720
1440956484309897216,1469621132072472576
1440956484309897216,147195785
1440956484309897216,1473028783397609472
1440956484309897216,1475910611993309184
1440956484309897216,147971760
1440956484309897216,1480129047824846848
1440956484309897216,1481556298219102208
1440956484309897216,14909498
1440956484309897216,1492654040
1440956484309897216,1497993082314412032
1440956484309897216,14997116
1440956484309897216,1503286699924807680
1440956484309897216,1503375878117548032
1440956484309897216,15064657
1440956484309897216,150697285
1440956484309897216,153264219
1440956484309897216,153821091
1440956484309897216,1543617206
1440956484309897216,15452231
1440956484309897216,1545313657
1440956484309897216,155810262
1440956484309897216,156249927
1440956484309897216,156384915
1440956484309897216,156402851
1440956484309897216,156654648
1440956484309897216,15705498
1440956484309897216,158380905
1440956484309897216,158491068
1440956484309897216,1598317591
1440956484309897216,161038997
1440956484309897216,1612403564
1440956484309897216,161315347
1440956484309897216,16206570
1440956484309897216,1621776763
1440956484309897216,163978784
1440956484309897216,16730420
1440956484309897216,1674589274
1440956484309897216,169219092
1440956484309897216,169399135
1440956484309897216,1694049163
1440956484309897216,169459804
1440956484309897216,1710346483
1440956484309897216,1710805598
1440956484309897216,171531798
1440956484309897216,172808738
1440956484309897216,17330472
1440956484309897216,17463367
1440956484309897216,17540746
1440956484309897216,17549477
1440956484309897216,17575069
1440956484309897216,177813214
1440956484309897216,18066440
1440956484309897216,183666702
1440956484309897216,183793295
1440956484309897216,18425584
1440956484309897216,18522563
1440956484309897216,185621633
1440956484309897216,186400502
1440956484309897216,1872021775
1440956484309897216,188638861
1440956484309897216,188734640
1440956484309897216,188739157
1440956484309897216,19026149
1440956484309897216,190349191
1440956484309897216,190610668
1440956484309897216,19226047
1440956484309897216,1926147684
1440956484309897216,193262712
1440956484309897216,193489251
1440956484309897216,198365324
1440956484309897216,198843165
1440956484309897216,19922496
1440956484309897216,202826691
1440956484309897216,204794002
1440956484309897216,20498634
1440956484309897216,20718994
1440956484309897216,209563247
1440956484309897216,209811713
1440956484309897216,21133881
1440956484309897216,214133713
1440956484309897216,21441630
1440956484309897216,214678147
1440956484309897216,214971869
1440956484309897216,2153165041
1440956484309897216,215330959
1440956484309897216,2162697578
1440956484309897216,217462908
1440956484309897216,218568631
1440956484309897216,2201296650
1440956484309897216,220378314
1440956484309897216,2209475192
1440956484309897216,221370308
1440956484309897216,2214291325
1440956484309897216,221500788
1440956484309897216,222867060
1440956484309897216,223487046
1440956484309897216,224568601
1440956484309897216,22506983
1440956484309897216,225940384
1440956484309897216,228722729
1440956484309897216,2301720944
1440956484309897216,2307290496
1440956484309897216,2318052782
1440956484309897216,23186530
1440956484309897216,2342103729
1440956484309897216,23496574
1440956484309897216,23582581
1440956484309897216,2367320131
1440956484309897216,236959187
1440956484309897216,2375098884
1440956484309897216,240896462
1440956484309897216,2415008334
1440956484309897216,2447712722
1440956484309897216,2459502864
1440956484309897216,246250032
1440956484309897216,2471155230
1440956484309897216,2473857192
1440956484309897216,249135930
1440956484309897216,249770120
1440956484309897216,250680597
1440956484309897216,2508529140
1440956484309897216,250870123
1440956484309897216,252268878
1440956484309897216,253095330
1440956484309897216,25324967
1440956484309897216,2563163478
1440956484309897216,2586064669
1440956484309897216,259431276
1440956484309897216,2601913471
1440956484309897216,260897786
1440956484309897216,266150232
1440956484309897216,2665307420
1440956484309897216,270112056
1440956484309897216,271351131
1440956484309897216,2719518104
1440956484309897216,272502448
1440956484309897216,27346778
1440956484309897216,2771514649
1440956484309897216,277415719
1440956484309897216,277574869
1440956484309897216,27838991
1440956484309897216,278938489
1440956484309897216,27936938
1440956484309897216,2800329148
1440956484309897216,2802216959
1440956484309897216,28039938
1440956484309897216,2810979745
1440956484309897216,2813149350
1440956484309897216,2831359479
1440956484309897216,2834505857
1440956484309897216,2853347278
1440956484309897216,2874802289
1440956484309897216,2877006789
1440956484309897216,2887165132
1440956484309897216,2889476458
1440956484309897216,289244572
1440956484309897216,289408290
1440956484309897216,2894363721
1440956484309897216,2912665817
1440956484309897216,291831562
1440956484309897216,292252796
1440956484309897216,29233244
1440956484309897216,294485766
1440956484309897216,2959291297
1440956484309897216,296701451
1440956484309897216,29720941
1440956484309897216,2992859854
1440956484309897216,3000614046
1440956484309897216,300221501
1440956484309897216,3003783075
1440956484309897216,3006022331
1440956484309897216,3024152878
1440956484309897216,3027202722
1440956484309897216,3032670789
1440956484309897216,303359127
1440956484309897216,303453208
1440956484309897216,3037252755
1440956484309897216,306133595
1440956484309897216,3068690196
1440956484309897216,307362863
1440956484309897216,308090716
1440956484309897216,30954925
1440956484309897216,3112019957
1440956484309897216,3147486807
1440956484309897216,315739619
1440956484309897216,3166017201
1440956484309897216,317207791
1440956484309897216,3233677012
1440956484309897216,3244504141
1440956484309897216,3252051189
1440956484309897216,325437666
1440956484309897216,325650133
1440956484309897216,327061693
1440956484309897216,3284984668
1440956484309897216,32991790
1440956484309897216,331734057
1440956484309897216,3367856993
1440956484309897216,34299371
1440956484309897216,3430502069
1440956484309897216,3433210978
1440956484309897216,3459898695
1440956484309897216,34755195
1440956484309897216,3497268500
1440956484309897216,349781706
1440956484309897216,350208281
1440956484309897216,35069712
1440956484309897216,353769886
1440956484309897216,3570261977
1440956484309897216,358673105
1440956484309897216,35982374
1440956484309897216,359934608
1440956484309897216,360559459
1440956484309897216,360888647
1440956484309897216,3610288582
1440956484309897216,367086067
1440956484309897216,369983426
1440956484309897216,371242316
1440956484309897216,37439327
1440956484309897216,377540401
1440956484309897216,377616409
1440956484309897216,37942286
1440956484309897216,3804773176
1440956484309897216,384916348
1440956484309897216,38497652
1440956484309897216,38733400
1440956484309897216,388963747
1440956484309897216,390380002
1440956484309897216,393118283
1440956484309897216,395952825
1440956484309897216,400037016
1440956484309897216,40082786
1440956484309897216,40461485
1440956484309897216,40494849
1440956484309897216,409127507
1440956484309897216,4118118406
1440956484309897216,4126237583
1440956484309897216,413269639
1440956484309897216,4152773413
